experiment,participant,version,age,sex,language,notes
1,1,1,NA,NA,NA,NA
1,2,3,NA,NA,NA,NA
1,3,4,NA,NA,NA,NA
1,4,2,NA,NA,NA,NA
1,5,2,NA,NA,NA,NA
1,6,3,NA,NA,NA,NA
1,7,2,NA,NA,NA,NA
1,8,1,NA,NA,NA,NA
1,9,4,NA,NA,NA,NA
1,10,3,NA,NA,NA,NA
1,11,1,NA,NA,NA,NA
1,12,4,NA,NA,NA,NA
1,13,3,NA,NA,NA,NA
1,14,1,NA,NA,NA,NA
1,15,4,NA,NA,NA,NA
1,16,4,NA,NA,NA,NA
1,17,2,NA,NA,NA,NA
1,18,3,NA,NA,NA,NA
1,19,1,NA,NA,NA,NA
1,20,2,NA,NA,NA,NA
2,1,2,NA,NA,NA,NA
2,2,2,NA,NA,NA,NA
2,3,4,NA,NA,NA,NA
2,4,3,NA,NA,NA,NA
2,5,1,NA,NA,NA,NA
2,6,3,NA,NA,NA,NA
2,7,2,NA,NA,NA,NA
2,8,1,NA,NA,NA,NA
2,9,3,NA,NA,NA,NA
2,10,3,NA,NA,NA,NA
2,11,3,NA,NA,NA,NA
2,12,2,NA,NA,NA,NA
2,13,2,NA,NA,NA,NA
2,14,1,NA,NA,NA,NA
2,15,4,NA,NA,NA,NA
2,16,1,NA,NA,NA,NA
2,17,4,NA,NA,NA,NA
2,18,1,NA,NA,NA,NA
2,19,4,NA,NA,NA,NA
2,20,4,NA,NA,NA,NA
